defense_type,parameter_value,avg_rmse,avg_success_rate,attack_failed
sample,33.0,2.799771922637005,0.758,False
sample,34.0,2.9733671400728428,0.7590000000000001,False
sample,35.0,2.894484608337231,0.774,False
sample,36.0,2.833274615565509,0.766,False
sample,37.0,2.9090806616319638,0.786,False
sample,38.0,2.876837954972611,0.788,False
sample,39.0,2.58757717452682,0.774,False
sample,40.0,2.587784708432033,0.764,False
sample,41.0,2.649662192831563,0.7769999999999999,False
sample,42.0,2.538558194799509,0.7849999999999999,False
sample,43.0,2.615474377496688,0.776,False
sample,44.0,2.7561870424616766,0.7849999999999999,False
sample,45.0,2.326469551651573,0.788,False
sample,46.0,2.181345971910897,0.8089999999999999,False
sample,47.0,2.1540349354509063,0.798,False
sample,48.0,2.058979261944721,0.8109999999999999,False
sample,49.0,2.3249357526024648,0.804,False
sample,50.0,2.0802448270274025,0.8030000000000002,False
sample,51.0,1.8200139721879238,0.8130000000000001,False
sample,52.0,1.9991957296036962,0.8130000000000001,False
sample,53.0,2.183209294277965,0.8069999999999998,False
sample,54.0,2.245934305138875,0.8219999999999998,False
sample,55.0,1.8643096134023593,0.8210000000000001,False
sample,56.0,1.986837495123181,0.834,False
sample,57.0,1.8510271080872929,0.825,False
sample,58.0,1.6232760686255496,0.836,False
sample,59.0,1.6970011149751412,0.843,False
sample,60.0,1.6689183717252276,0.8510000000000002,False
sample,61.0,1.7512807048264112,0.844,False
sample,62.0,1.9030251568548118,0.866,False
sample,63.0,1.5423004833967275,0.851,False
sample,64.0,1.316905144036006,0.857,False
sample,65.0,1.5207346009490883,0.8719999999999999,False
sample,66.0,1.6434205871665295,0.86,False
sample,67.0,1.2403041978821374,0.8720000000000001,False
sample,68.0,1.472530303853022,0.865,False
sample,69.0,1.4599674350960345,0.874,False
sample,70.0,1.541511282517943,0.8630000000000001,False
sample,71.0,1.3012788276360772,0.874,False
sample,72.0,1.350224885053473,0.8779999999999999,False
sample,73.0,1.247014870061423,0.8799999999999999,False
sample,74.0,1.2924860626995098,0.8800000000000001,False
sample,75.0,1.1027814758471917,0.883,False
sample,76.0,1.1679536109070678,0.8870000000000001,False
sample,77.0,1.2699647457603644,0.884,False
sample,78.0,1.1059538481060307,0.897,False
sample,79.0,1.1096267732384621,0.8950000000000001,False
sample,80.0,0.99045436367467,0.9,False
sample,81.0,0.9798701728121297,0.9099999999999999,False
sample,82.0,0.9855191601837072,0.909,False
sample,83.0,0.9647347583906696,0.915,False
sample,84.0,0.9673047707595404,0.9120000000000001,False
sample,85.0,0.888078955817193,0.9099999999999999,False
sample,86.0,0.8456342252009088,0.9100000000000001,False
sample,87.0,0.7144407421875806,0.922,False
sample,88.0,0.740092336324049,0.922,False
sample,89.0,0.6680216791531925,0.9269999999999999,False
sample,90.0,0.6656812663568119,0.929,False
sample,91.0,0.6664247956939654,0.9410000000000001,False
sample,92.0,0.61841926521395,0.938,False
sample,93.0,0.671960948983061,0.931,False
sample,94.0,0.48342485379179256,0.9489999999999998,False
sample,95.0,0.5318799132525075,0.9499999999999998,False
sample,96.0,0.4316993971094373,0.943,False
sample,97.0,0.4165113251967331,0.952,False
sample,98.0,0.30913293177216505,0.9560000000000001,False
sample,99.0,0.1468289307635819,0.954,False
sample,100.0,0.0,0.962,False
