param,rmse,success,exact_reconstruction_rate
1,0.0,0.9670000000000002,0.0
2,0.6471527026462935,0.7329999999999999,0.0
3,0.7627151413505883,0.688,0.0
4,1.0987372368336532,0.6660000000000001,0.0
5,1.19569547965186,0.6060000000000001,0.0
6,1.5637493552067079,0.584,0.0
7,1.7172363782129878,0.581,0.0
8,2.1630047692241585,0.57,0.0
9,2.248439668866808,0.549,0.0
10,2.6176455264912506,0.5850000000000001,0.0
11,2.6701145033306277,0.558,0.0
12,2.913034899884362,0.542,0.0
13,3.1511449606985575,0.523,0.0
14,3.535361892993181,0.5270000000000001,0.0
15,3.3983917666504944,0.5449999999999999,0.0
16,3.6807094123205033,0.48100000000000004,0.0
17,3.7345883005755383,0.522,0.0
18,4.038437315570939,0.5549999999999999,0.0
19,4.072580365725335,0.511,0.0
20,4.389728422864382,0.506,0.0
21,4.711521278680328,0.515,0.0
22,4.944614625121057,0.538,0.0
23,5.24197403819331,0.49799999999999994,0.0
24,5.2866856937978906,0.52,0.0
25,5.354238993193605,0.525,0.0
26,5.5679003292860445,0.51,0.0
27,5.547019496352584,0.528,0.0
28,5.635870434952411,0.534,0.0
29,5.666580621066748,0.525,0.0
30,5.916074311159308,0.5139999999999999,0.0
31,5.909447564152331,0.507,0.0
32,6.08736554413221,0.504,0.0
33,6.123607181111887,0.5290000000000001,0.0
34,6.282874897402254,0.496,0.0
35,6.376273976949328,0.514,0.0
36,6.208934089641003,0.5109999999999999,0.0
37,6.351463965467106,0.524,0.0
38,6.378982225334614,0.5210000000000001,0.0
39,6.475944126658549,0.5289999999999999,0.0
40,6.801302166067799,0.537,0.0
41,6.852160955982444,0.507,0.0
42,6.845654787965742,0.5,0.0
43,6.8801697432845135,0.4840000000000001,0.0
44,6.775010517035556,0.5149999999999999,0.0
45,7.09373872056757,0.505,0.0
46,7.143461535186404,0.5150000000000001,0.0
47,7.2241577135748924,0.4959999999999999,0.0
48,7.50304906779256,0.52,0.0
49,7.398537742939515,0.5080000000000001,0.0
50,7.529208076487687,0.5269999999999999,0.0
51,7.41312398725591,0.504,0.0
52,7.509350269592796,0.48200000000000004,0.0
53,7.530279750684327,0.525,0.0
54,7.939281214139814,0.506,0.0
55,7.838658468130873,0.49800000000000005,0.0
56,7.950759077300378,0.527,0.0
57,8.200120318248013,0.5189999999999999,0.0
58,7.69451926306603,0.5039999999999999,0.0
59,8.00216983456939,0.4789999999999999,0.0
60,8.602727140257272,0.52,0.0
61,8.006265186003974,0.49799999999999994,0.0
62,8.664171214398847,0.5029999999999999,0.0
63,8.276994996245051,0.499,0.0
64,8.541420787272628,0.55,0.0
65,8.820159859883962,0.514,0.0
66,8.857615819888885,0.502,0.0
67,9.006400108709816,0.51,0.0
68,9.387276306939864,0.49800000000000005,0.0
69,9.167145242274483,0.5210000000000001,0.0
70,8.662685239200473,0.6500000000000001,0.0
71,9.321677128531906,0.6500000000000001,0.0
72,9.402528438600537,0.6500000000000001,0.0
73,8.761220285725688,0.6500000000000001,0.0
74,9.317473462234933,0.6500000000000001,0.0
75,8.981620756841355,0.6500000000000001,0.0
76,9.057220764095286,0.6500000000000001,0.0
77,9.10599632817228,0.6500000000000001,0.0
78,9.159908847485589,0.6500000000000001,0.0
79,9.191177308673584,0.6500000000000001,0.0
80,9.185381912012534,0.6500000000000001,0.0
81,9.079584410797105,0.6500000000000001,0.0
82,9.350010900841621,0.6500000000000001,0.0
83,9.332019639061631,0.6500000000000001,0.0
84,9.081214667016953,0.6500000000000001,0.0
85,9.096762113215775,0.6500000000000001,0.0
86,8.982158157078961,0.6500000000000001,0.0
87,9.325850714293454,0.6500000000000001,0.0
88,9.131780974716497,0.6500000000000001,0.0
89,8.937530643241121,0.6500000000000001,0.0
90,9.085299376844647,0.6500000000000001,0.0
91,9.225374155625815,0.6500000000000001,0.0
92,9.260172011098245,0.6500000000000001,0.0
93,9.12121655436586,0.6500000000000001,0.0
94,9.312174643172018,0.6500000000000001,0.0
95,9.534568705099526,0.6500000000000001,0.0
96,9.589775051836543,0.6500000000000001,0.0
97,9.190252831773726,0.6500000000000001,0.0
98,9.080003317261598,0.6500000000000001,0.0
99,9.500725411413741,0.6500000000000001,0.0
100,8.740221043144011,0.6500000000000001,0.0
